Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
50,   Burundi,,108,B R,   Democratic Republic of the Congo,180, 36 654, 41 447, 37 951, 99 099, 147 611, 175 768, 199 585
51,   Burundi,,108,B R,   France*,250,321,310,237,232,248,302,358
52,   Burundi,,108,B R,   Kenya,404,186,216,202,502,847, 1 032, 1 226
53,   Burundi,,108,B R,   Rwanda,646, 221 943, 160 197, 66 415, 61 104, 54 794, 64 363, 76 567
54,   Burundi,,108,B R,   Uganda,800, 1 833, 1 546,949,805,731,891, 1 058
55,   Burundi,,108,B R,   United Republic of Tanzania*,834, 11 912, 9 780, 5 692, 13 732, 22 974, 28 008, 33 318
56,   Burundi,,108,B R,Other,2003, 59 619, 40 736, 13 707, 16 834, 19 619, 27 330, 31 937
57,   Comoros,,174,B,WORLD,900, 14 079, 13 939, 13 799, 13 209, 12 618, 12 555, 12 496
58,   Comoros,,174,B,  Sub-Saharan Africa,947, 12 017, 11 897, 11 778, 11 274, 10 769, 10 722, 10 667
59,   Comoros,,174,B,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
60,   Comoros,,174,B,  Central and Southern Asia,921,..,..,..,..,..,..,..
61,   Comoros,,174,B,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
62,   Comoros,,174,B,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
63,   Comoros,,174,B,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
64,   Comoros,,174,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
65,   Comoros,,174,B,  Europe and Northern America,1829,543,538,532,509,486,482,479
66,   Comoros,,174,B,  Developed regions,901,543,538,532,509,486,482,479
67,   Comoros,,174,B,  Less developed regions,902, 12 017, 11 897, 11 778, 11 274, 10 769, 10 722, 10 667
68,   Comoros,,174,B," Less developed regions, excluding least developed countries",934, 1 044, 1 034, 1 023,979,934,926,919
69,   Comoros,,174,B," Less developed regions, excluding China",948, 12 017, 11 897, 11 778, 11 274, 10 769, 10 722, 10 667
70,   Comoros,,174,B,  Least developed countries,941, 10 973, 10 863, 10 755, 10 295, 9 835, 9 796, 9 748
71,   Comoros,,174,B,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
72,   Comoros,,174,B,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
73,   Comoros,,174,B,  High-income countries,1503,543,538,532,509,486,482,479
74,   Comoros,,174,B,  Middle-income countries,1517,250,248,245,234,223,221,217
75,   Comoros,,174,B, Upper-middle-income countries,1502,..,..,..,..,..,..,..
76,   Comoros,,174,B, Lower-middle-income countries,1501,250,248,245,234,223,221,217
77,   Comoros,,174,B,  Low-income countries,1500, 10 810, 10 701, 10 595, 10 142, 9 689, 9 651, 9 605
78,   Comoros,,174,B, AFRICA,903, 12 017, 11 897, 11 778, 11 274, 10 769, 10 722, 10 667
79,   Comoros,,174,B,  Eastern Africa,910, 12 017, 11 897, 11 778, 11 274, 10 769, 10 722, 10 667
80,   Comoros,,174,B,  Middle Africa,911,..,..,..,..,..,..,..
81,   Comoros,,174,B,  Northern Africa,912,..,..,..,..,..,..,..
82,   Comoros,,174,B,  Southern Africa,913,..,..,..,..,..,..,..
83,   Comoros,,174,B,  Western Africa,914,..,..,..,..,..,..,..
84,   Comoros,,174,B, ASIA,935,..,..,..,..,..,..,..
85,   Comoros,,174,B,  Central Asia,5500,..,..,..,..,..,..,..
86,   Comoros,,174,B,  Eastern Asia,906,..,..,..,..,..,..,..
87,   Comoros,,174,B,  South-Eastern Asia,920,..,..,..,..,..,..,..
88,   Comoros,,174,B,  Southern Asia,5501,..,..,..,..,..,..,..
89,   Comoros,,174,B,  Western Asia,922,..,..,..,..,..,..,..
90,   Comoros,,174,B, EUROPE,908,543,538,532,509,486,482,479
91,   Comoros,,174,B,  Eastern Europe,923,..,..,..,..,..,..,..
92,   Comoros,,174,B,  Northern Europe,924,..,..,..,..,..,..,..
93,   Comoros,,174,B,  Southern Europe,925,..,..,..,..,..,..,..
94,   Comoros,,174,B,  Western Europe,926,543,538,532,509,486,482,479
95,   Comoros,,174,B, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
96,   Comoros,,174,B,  Caribbean,915,..,..,..,..,..,..,..
97,   Comoros,,174,B,  Central America,916,..,..,..,..,..,..,..
98,   Comoros,,174,B,  South America,931,..,..,..,..,..,..,..
99,   Comoros,,174,B, NORTHERN AMERICA,905,..,..,..,..,..,..,..
100,   Comoros,,174,B, OCEANIA ,909,..,..,..,..,..,..,..
101,   Comoros,,174,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
102,   Comoros,,174,B,  Melanesia,928,..,..,..,..,..,..,..
103,   Comoros,,174,B,  Micronesia,954,..,..,..,..,..,..,..
104,   Comoros,,174,B,  Polynesia*,957,..,..,..,..,..,..,..
105,   Comoros,,174,B,   France*,250,543,538,532,509,486,482,479
106,   Comoros,,174,B,   Kenya,404,87,86,85,81,77,76,74
107,   Comoros,,174,B,   Madagascar,450, 10 810, 10 701, 10 595, 10 142, 9 689, 9 651, 9 605
108,   Comoros,,174,B,   R?union*,638,957,948,938,898,857,850,845
109,   Comoros,,174,B,   United Republic of Tanzania*,834,163,162,160,153,146,145,143
110,   Comoros,,174,B,Other,2003, 1 519, 1 504, 1 489, 1 426, 1 363, 1 351, 1 350
111,   Djibouti,,262,B R,WORLD,900, 122 221, 99 774, 100 507, 92 110, 102 307, 112 351, 119 738
112,   Djibouti,,262,B R,  Sub-Saharan Africa,947, 114 621, 93 568, 94 253, 86 381, 95 947, 99 828, 107 554
113,   Djibouti,,262,B R,  Northern Africa and Western Asia,1833,289,236,238,219,242, 6 157, 5 322
114,   Djibouti,,262,B R,  Central and Southern Asia,921,..,..,..,..,..,..,..
115,   Djibouti,,262,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
116,   Djibouti,,262,B R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
117,   Djibouti,,262,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
118,   Djibouti,,262,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
119,   Djibouti,,262,B R,  Europe and Northern America,1829,..,..,..,..,..,..,..
120,   Djibouti,,262,B R,  Developed regions,901,..,..,..,..,..,..,..
121,   Djibouti,,262,B R,  Less developed regions,902, 114 910, 93 804, 94 491, 86 600, 96 189, 105 985, 112 876
122,   Djibouti,,262,B R," Less developed regions, excluding least developed countries",934,..,..,..,..,..,..,..
123,   Djibouti,,262,B R," Less developed regions, excluding China",948, 114 910, 93 804, 94 491, 86 600, 96 189, 105 985, 112 876
124,   Djibouti,,262,B R,  Least developed countries,941, 114 910, 93 804, 94 491, 86 600, 96 189, 105 985, 112 876
125,   Djibouti,,262,B R,  Land-locked Developing Countries (LLDC),1636, 13 405, 10 943, 11 023, 10 103, 11 222, 11 676, 12 578
126,   Djibouti,,262,B R,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
127,   Djibouti,,262,B R,  High-income countries,1503,..,..,..,..,..,..,..
128,   Djibouti,,262,B R,  Middle-income countries,1517,..,..,..,..,..,..,..
129,   Djibouti,,262,B R, Upper-middle-income countries,1502,..,..,..,..,..,..,..
130,   Djibouti,,262,B R, Lower-middle-income countries,1501,..,..,..,..,..,..,..
131,   Djibouti,,262,B R,  Low-income countries,1500, 114 910, 93 804, 94 491, 86 600, 96 189, 105 985, 112 876
132,   Djibouti,,262,B R, AFRICA,903, 114 621, 93 568, 94 253, 86 381, 95 947, 99 828, 107 554
133,   Djibouti,,262,B R,  Eastern Africa,910, 114 621, 93 568, 94 253, 86 381, 95 947, 99 828, 107 554
134,   Djibouti,,262,B R,  Middle Africa,911,..,..,..,..,..,..,..
135,   Djibouti,,262,B R,  Northern Africa,912,..,..,..,..,..,..,..
136,   Djibouti,,262,B R,  Southern Africa,913,..,..,..,..,..,..,..
137,   Djibouti,,262,B R,  Western Africa,914,..,..,..,..,..,..,..
138,   Djibouti,,262,B R, ASIA,935,289,236,238,219,242, 6 157, 5 322
139,   Djibouti,,262,B R,  Central Asia,5500,..,..,..,..,..,..,..
140,   Djibouti,,262,B R,  Eastern Asia,906,..,..,..,..,..,..,..
141,   Djibouti,,262,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
142,   Djibouti,,262,B R,  Southern Asia,5501,..,..,..,..,..,..,..
143,   Djibouti,,262,B R,  Western Asia,922,289,236,238,219,242, 6 157, 5 322
144,   Djibouti,,262,B R, EUROPE,908,..,..,..,..,..,..,..
145,   Djibouti,,262,B R,  Eastern Europe,923,..,..,..,..,..,..,..
146,   Djibouti,,262,B R,  Northern Europe,924,..,..,..,..,..,..,..
147,   Djibouti,,262,B R,  Southern Europe,925,..,..,..,..,..,..,..
148,   Djibouti,,262,B R,  Western Europe,926,..,..,..,..,..,..,..
149,   Djibouti,,262,B R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
150,   Djibouti,,262,B R,  Caribbean,915,..,..,..,..,..,..,..
151,   Djibouti,,262,B R,  Central America,916,..,..,..,..,..,..,..
152,   Djibouti,,262,B R,  South America,931,..,..,..,..,..,..,..
153,   Djibouti,,262,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
154,   Djibouti,,262,B R, OCEANIA ,909,..,..,..,..,..,..,..
155,   Djibouti,,262,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
156,   Djibouti,,262,B R,  Melanesia,928,..,..,..,..,..,..,..
157,   Djibouti,,262,B R,  Micronesia,954,..,..,..,..,..,..,..
158,   Djibouti,,262,B R,  Polynesia*,957,..,..,..,..,..,..,..
159,   Djibouti,,262,B R,   Ethiopia,231, 13 405, 10 943, 11 023, 10 103, 11 222, 11 676, 12 578
160,   Djibouti,,262,B R,   Somalia,706, 101 216, 82 625, 83 230, 76 278, 84 725, 88 152, 94 976
161,   Djibouti,,262,B R,   Yemen,887,289,236,238,219,242, 6 157, 5 322
162,   Djibouti,,262,B R,Other,2003, 7 311, 5 970, 6 016, 5 510, 6 118, 6 366, 6 862
163,   Eritrea,,232,I R,WORLD,900, 11 848, 12 400, 12 952, 15 905, 15 813, 15 941, 13 934
164,   Eritrea,,232,I R,  Sub-Saharan Africa,947, 10 446, 10 571, 10 693, 13 536, 13 195, 12 774, 11 142
165,   Eritrea,,232,I R,  Northern Africa and Western Asia,1833,131,155,180,170,172,208,181
166,   Eritrea,,232,I R,  Central and Southern Asia,921,39,54,70,83,99,119,103
167,   Eritrea,,232,I R,  Eastern and South-Eastern Asia,1832,8,53,98,102,112,135,117
168,   Eritrea,,232,I R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
169,   Eritrea,,232,I R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
170,   Eritrea,,232,I R,  Australia and New Zealand,927,..,..,..,..,..,..,..
171,   Eritrea,,232,I R,  Europe and Northern America,1829,142,197,254,327,407,492,428
172,   Eritrea,,232,I R,  Developed regions,901,142,197,254,327,407,492,428
173,   Eritrea,,232,I R,  Less developed regions,902, 10 624, 10 833, 11 041, 13 891, 13 578, 13 236, 11 543
174,   Eritrea,,232,I R," Less developed regions, excluding least developed countries",934,413,577,742,784,870, 1 051,913
175,   Eritrea,,232,I R," Less developed regions, excluding China",948, 10 616, 10 780, 10 943, 13 789, 13 466, 13 101, 11 426
176,   Eritrea,,232,I R,  Least developed countries,941, 10 211, 10 256, 10 299, 13 107, 12 708, 12 185, 10 630
177,   Eritrea,,232,I R,  Land-locked Developing Countries (LLDC),1636, 4 288, 4 796, 5 304, 6 403, 4 929, 5 963, 5 209
178,   Eritrea,,232,I R,  Small island developing States (SIDS),1637,27,60,93,125,159,192,166
179,   Eritrea,,232,I R,  High-income countries,1503,142,197,254,327,407,492,428
180,   Eritrea,,232,I R,  Middle-income countries,1517,996, 1 487, 1 981, 1 899, 1 948, 2 355, 2 048
181,   Eritrea,,232,I R, Upper-middle-income countries,1502,105,196,287,238,213,257,223
182,   Eritrea,,232,I R, Lower-middle-income countries,1501,891, 1 291, 1 694, 1 661, 1 735, 2 098, 1 825
183,   Eritrea,,232,I R,  Low-income countries,1500, 9 628, 9 346, 9 060, 11 992, 11 630, 10 881, 9 495
184,   Eritrea,,232,I R, AFRICA,903, 10 577, 10 726, 10 873, 13 706, 13 367, 12 982, 11 323
185,   Eritrea,,232,I R,  Eastern Africa,910, 9 695, 9 179, 8 660, 11 703, 11 416, 10 621, 9 261
186,   Eritrea,,232,I R,  Middle Africa,911,654, 1 249, 1 844, 1 697, 1 678, 2 031, 1 775
187,   Eritrea,,232,I R,  Northern Africa,912,131,155,180,170,172,208,181
188,   Eritrea,,232,I R,  Southern Africa,913,97,143,189,136,101,122,106
189,   Eritrea,,232,I R,  Western Africa,914,..,..,..,..,..,..,..
190,   Eritrea,,232,I R, ASIA,935,47,107,168,185,211,254,220
191,   Eritrea,,232,I R,  Central Asia,5500,..,..,..,..,..,..,..
192,   Eritrea,,232,I R,  Eastern Asia,906,8,53,98,102,112,135,117
193,   Eritrea,,232,I R,  South-Eastern Asia,920,..,..,..,..,..,..,..
194,   Eritrea,,232,I R,  Southern Asia,5501,39,54,70,83,99,119,103
195,   Eritrea,,232,I R,  Western Asia,922,..,..,..,..,..,..,..
196,   Eritrea,,232,I R, EUROPE,908,142,197,254,327,407,492,428
197,   Eritrea,,232,I R,  Eastern Europe,923,..,..,..,..,..,..,..
198,   Eritrea,,232,I R,  Northern Europe,924,34,38,43,44,47,56,48
199,   Eritrea,,232,I R,  Southern Europe,925,..,..,..,..,..,..,..
200,   Eritrea,,232,I R,  Western Europe,926,108,159,211,283,360,436,380
201,   Eritrea,,232,I R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
202,   Eritrea,,232,I R,  Caribbean,915,..,..,..,..,..,..,..
203,   Eritrea,,232,I R,  Central America,916,..,..,..,..,..,..,..
204,   Eritrea,,232,I R,  South America,931,..,..,..,..,..,..,..
205,   Eritrea,,232,I R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
206,   Eritrea,,232,I R, OCEANIA ,909,..,..,..,..,..,..,..
207,   Eritrea,,232,I R,  Australia and New Zealand,927,..,..,..,..,..,..,..
208,   Eritrea,,232,I R,  Melanesia,928,..,..,..,..,..,..,..
209,   Eritrea,,232,I R,  Micronesia,954,..,..,..,..,..,..,..
210,   Eritrea,,232,I R,  Polynesia*,957,..,..,..,..,..,..,..
211,   Eritrea,,232,I R,   Angola,24,247,433,620,424,286,346,301
212,   Eritrea,,232,I R,   Burundi,108,618, 1 141, 1 663, 1 189,864, 1 044,913
213,   Eritrea,,232,I R,   China*,156,8,53,98,102,112,135,117
214,   Eritrea,,232,I R,   Comoros,174,27,60,93,125,159,192,166
215,   Eritrea,,232,I R,   Democratic Republic of the Congo,180,407,816, 1 224, 1 273, 1 392, 1 685, 1 474
216,   Eritrea,,232,I R,   Ethiopia,231, 1 284,687,91, 1 554,90,108,94
217,   Eritrea,,232,I R,   France*,250,108,159,211,283,360,436,380
218,   Eritrea,,232,I R,   India,356,39,54,70,83,99,119,103
219,   Eritrea,,232,I R,   Kenya,404,187,202,217,248,290,351,305
220,   Eritrea,,232,I R,   Malawi,454,114,228,343,487,637,771,673
221,   Eritrea,,232,I R,   Mozambique,508, 3 537, 2 218,896,876,913, 1 105,966
222,   Eritrea,,232,I R,   Rwanda,646,991,703,414,385,385,467,407
223,   Eritrea,,232,I R,   Somalia,706, 1 438, 1 607, 1 775, 3 657, 4 691, 2 485, 2 156
224,   Eritrea,,232,I R,   South Africa,710,97,143,189,136,101,122,106
225,   Eritrea,,232,I R,   Zimbabwe,716,82,125,168,215,268,324,282
226,   Eritrea,,232,I R,   South Sudan,728,933, 1 109, 1 284, 1 214, 1 229, 1 487, 1 300
227,   Eritrea,,232,I R,   Sudan,729,131,155,180,170,172,208,181
228,   Eritrea,,232,I R,   Uganda,800,175,682, 1 190, 1 187, 1 257, 1 521, 1 331
229,   Eritrea,,232,I R,   United Kingdom*,826,34,38,43,44,47,56,48
230,   Eritrea,,232,I R,   United Republic of Tanzania*,834,218,296,375,394,434,525,459
231,   Eritrea,,232,I R,   Zambia,894,91,121,151,172,199,241,209
232,   Eritrea,,232,I R,Other,2003, 1 082, 1 370, 1 657, 1 687, 1 828, 2 213, 1 963
233,   Ethiopia,,231,B R,WORLD,900,1 155 390, 806 904, 611 384, 514 451, 568 748,1 161 642,1 085 517
234,   Ethiopia,,231,B R,  Sub-Saharan Africa,947,1 072 032, 732 293, 531 374, 395 359, 506 670,1 048 914,1 017 711
235,   Ethiopia,,231,B R,  Northern Africa and Western Asia,1833, 53 925, 33 097, 18 544, 74 021, 36 898, 40 823, 44 012
236,   Ethiopia,,231,B R,  Central and Southern Asia,921,..,..,..,..,..,..,..
237,   Ethiopia,,231,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
238,   Ethiopia,,231,B R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
239,   Ethiopia,,231,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
240,   Ethiopia,,231,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
241,   Ethiopia,,231,B R,  Europe and Northern America,1829,..,..,..,..,..,..,..
242,   Ethiopia,,231,B R,  Developed regions,901,..,..,..,..,..,..,..
243,   Ethiopia,,231,B R,  Less developed regions,902,1 125 957, 765 390, 549 918, 469 380, 543 568,1 089 737,1 061 723
244,   Ethiopia,,231,B R," Less developed regions, excluding least developed countries",934,..,..,..,..,..,..,..
245,   Ethiopia,,231,B R," Less developed regions, excluding China",948,1 125 957, 765 390, 549 918, 469 380, 543 568,1 089 737,1 061 723
246,   Ethiopia,,231,B R,  Least developed countries,941,1 125 957, 765 390, 549 918, 469 380, 543 568,1 089 737,1 061 723
247,   Ethiopia,,231,B R,  Land-locked Developing Countries (LLDC),1636, 384 459, 235 765, 131 764, 96 629, 111 480, 395 349, 410 396
248,   Ethiopia,,231,B R,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
249,   Ethiopia,,231,B R,  High-income countries,1503,..,..,..,..,..,..,..
250,   Ethiopia,,231,B R,  Middle-income countries,1517,904, 1 901, 3 258, 2 389, 2 999, 3 702, 3 439
251,   Ethiopia,,231,B R, Upper-middle-income countries,1502,..,..,..,..,..,..,..
252,   Ethiopia,,231,B R, Lower-middle-income countries,1501,904, 1 901, 3 258, 2 389, 2 999, 3 702, 3 439
253,   Ethiopia,,231,B R,  Low-income countries,1500,1 125 053, 763 489, 546 660, 466 991, 540 569,1 086 035,1 058 284
254,   Ethiopia,,231,B R, AFRICA,903,1 125 889, 765 301, 549 791, 469 286, 543 451,1 088 413,1 059 670
255,   Ethiopia,,231,B R,  Eastern Africa,910,1 071 984, 732 230, 531 284, 395 293, 505 992,1 047 333,1 016 243
256,   Ethiopia,,231,B R,  Middle Africa,911,48,63,90,66,678, 1 581, 1 468
257,   Ethiopia,,231,B R,  Northern Africa,912, 53 857, 33 008, 18 417, 73 927, 36 781, 39 499, 41 959
258,   Ethiopia,,231,B R,  Southern Africa,913,..,..,..,..,..,..,..
259,   Ethiopia,,231,B R,  Western Africa,914,..,..,..,..,..,..,..
260,   Ethiopia,,231,B R, ASIA,935,68,89,127,94,117, 1 324, 2 053
261,   Ethiopia,,231,B R,  Central Asia,5500,..,..,..,..,..,..,..
262,   Ethiopia,,231,B R,  Eastern Asia,906,..,..,..,..,..,..,..
263,   Ethiopia,,231,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
264,   Ethiopia,,231,B R,  Southern Asia,5501,..,..,..,..,..,..,..
265,   Ethiopia,,231,B R,  Western Asia,922,68,89,127,94,117, 1 324, 2 053
266,   Ethiopia,,231,B R, EUROPE,908,..,..,..,..,..,..,..
267,   Ethiopia,,231,B R,  Eastern Europe,923,..,..,..,..,..,..,..
268,   Ethiopia,,231,B R,  Northern Europe,924,..,..,..,..,..,..,..
269,   Ethiopia,,231,B R,  Southern Europe,925,..,..,..,..,..,..,..
270,   Ethiopia,,231,B R,  Western Europe,926,..,..,..,..,..,..,..
271,   Ethiopia,,231,B R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
272,   Ethiopia,,231,B R,  Caribbean,915,..,..,..,..,..,..,..
273,   Ethiopia,,231,B R,  Central America,916,..,..,..,..,..,..,..
274,   Ethiopia,,231,B R,  South America,931,..,..,..,..,..,..,..
275,   Ethiopia,,231,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
276,   Ethiopia,,231,B R, OCEANIA ,909,..,..,..,..,..,..,..
277,   Ethiopia,,231,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
278,   Ethiopia,,231,B R,  Melanesia,928,..,..,..,..,..,..,..
279,   Ethiopia,,231,B R,  Micronesia,954,..,..,..,..,..,..,..
280,   Ethiopia,,231,B R,  Polynesia*,957,..,..,..,..,..,..,..
281,   Ethiopia,,231,B R,   Burundi,108,19,25,35,26,131,180,166
282,   Ethiopia,,231,B R,   Democratic Republic of the Congo,180,48,63,90,66,678, 1 581, 1 468
283,   Ethiopia,,231,B R,   Eritrea,232, 69 681, 34 949, 6 843, 10 700, 44 934, 205 821, 191 256
284,   Ethiopia,,231,B R,   Djibouti,262,904, 1 901, 3 258, 2 389, 2 999, 3 702, 3 439
285,   Ethiopia,,231,B R,   Rwanda,646,71,93,132,97,121,150,138
286,   Ethiopia,,231,B R,   Somalia,706, 616 940, 459 615, 389 419, 285 575, 346 579, 442 461, 411 152
287,   Ethiopia,,231,B R,   South Sudan,728, 384 266, 235 512, 131 405, 96 365, 111 051, 394 801, 409 890
288,   Ethiopia,,231,B R,   Sudan,729, 53 857, 33 008, 18 417, 73 927, 36 781, 39 499, 41 959
289,   Ethiopia,,231,B R,   Uganda,800,103,135,192,141,177,218,202
290,   Ethiopia,,231,B R,   Yemen,887,68,89,127,94,117, 1 324, 2 053
291,   Ethiopia,,231,B R,Other,2003, 29 433, 41 514, 61 466, 45 071, 25 180, 71 905, 23 794
292,   Kenya,,404,B R,WORLD,900, 298 089, 618 745, 707 852, 773 354, 954 925,1 126 886,1 050 147
293,   Kenya,,404,B R,  Sub-Saharan Africa,947, 195 916, 470 547, 579 780, 635 707, 868 730,1 037 136, 971 029
294,   Kenya,,404,B R,  Northern Africa and Western Asia,1833,814, 41 215, 56 360, 76 711, 26 998, 10 266, 9 926
295,   Kenya,,404,B R,  Central and Southern Asia,921,..,..,..,..,..,..,..
296,   Kenya,,404,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
297,   Kenya,,404,B R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
298,   Kenya,,404,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
299,   Kenya,,404,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
300,   Kenya,,404,B R,  Europe and Northern America,1829,..,..,..,..,..,..,..
301,   Kenya,,404,B R,  Developed regions,901,..,..,..,..,..,..,..
